session_date,id_etudiant_gh,duree_heures,niko_niko,fdbck_clarte_explications,fdbck_utilite_concepts,fdbck_difficulte_percue,fdbck_suggestions_amelioration,fdbck_impact_progression,fdbck_confiance_atteinte_objectif_professionnel,fdbck_ce_que_j_ai_prefere,fdbck_commentaires_supplementaires
2025-03-15,alizeem,3,VERT,4,4,3,Je n'ai pas vraiment de suggestions � faire. C'�tait plut�t clair.,4,4,J'ai aim� les petits exercices � r�aliser,Peut �tre prendre un petit temps pour nous expliquer comment fonctionne/utiliser les outils comme Kaggle
2025-03-15,deviberges,3,JAUNE,5,5,2,Mise en place de visio pour les étudiants du Nord,3,4,Les mini exercices de mise en pratique sur feuille,
2025-03-15,jasknky,3,JAUNE,4,5,2,prévoir des outils pour une visio.adapter le propos pour une visio,2,4,OK,
2025-03-15,tinanak,3,JAUNE,3,4,3,Comme j ai du mal à comprendre sur les vocabulaires techniques et j aimerais qu on les explique plus en détail,3,3,Les explications étaient claires et précises merci pour la séance et j ai bien aimé les interactions et l explication sur les exercices aussi j aimerais bien que vous nous quidez plus sur les étapes à suivre pour bien comprendre les exercices,
2025-03-22,galinclementine,3,VERT,4,5,2,"Enregistrement sessions sur Teams pour etudiant(s) manquants(s)",5,1,"Perspectives d'application en entreprise, c'est intéressant !"," Cours préparé et organisé = au top"
2025-03-22,Nathoune27,3,VERT,4,4,2,Prevoir des multiprises ou trouver une salle avec plus de prises,3,3,Pas de preference particuliere,
2025-03-15,playade,3,VERT,4,4,2,Pas de suggestions precises,3,4,Le deroulement du cours,
2025-03-15,cassandra03,3,JAUNE,2,2,2,avoir plus de définitions sur les notions techniques,2,2,les exercices,
2025-03-15,JulianMalaval,3,JAUNE,3,4,3,Cours assez complet et explications claires,4,3, cours interactif beaucoup d'explications visuelles et de videos,
2025-03-15,raimanu,3,JAUNE,5,4,3,,2,3,Travaux pratique et moment de partage en groupe,
2025-03-15,josegoue993,3,JAUNE,5,4,2, utiliser les des marqueurs plus foncés pour une meilleure visibilité sur tableau blanc,3,3,Les exercices permettent plus d'interactions avec la classe et c'est super,
